o_id,text,is_correct,feedback
q1.o1,"4.8 m",FALSE,"Good try, but that's not correct. Maybe try a hint?"
q1.o2,"6.4 m",FALSE,"Good try, but that's not correct. Maybe try a hint?"
q1.o3,"8.0 m",TRUE,"That's the correct answer. Congratulations on completing the problem!"
q1.o4,"12.5 m",FALSE,"Good try, but that's not correct. Maybe try a hint?"
q1.o5,"16.0 m",FALSE,"Good try, but that's not correct. Maybe try a hint?"
q2.o1,"1.0 s",FALSE,"Good try, but that's not correct. Maybe try a hint?"
q2.o2,"1.2 s",FALSE,"Good try, but that's not correct. Maybe try a hint?"
q2.o3,"3.4 s",FALSE,"Good try, but that's not correct. Maybe try a hint?"
q2.o4,"5.5 s",TRUE,"That's the correct answer. Congratulations on completing the problem!"
q2.o5,"11.2 s",FALSE,"Good try, but that's not correct. Maybe try a hint?"
q3.o1,"1.4 m",FALSE,"Good try, but that's not correct. Maybe try a hint?"
q3.o2,"2.7 m",FALSE,"Good try, but that's not correct. Maybe try a hint?"
q3.o3,"4.3 m",FALSE,"Good try, but that's not correct. Maybe try a hint?"
q3.o4,"7.5 m",TRUE,"That's the correct answer. Congratulations on completing the problem!"
q3.o5,"9.8 m",FALSE,"Good try, but that's not correct. Maybe try a hint?"
q4.o1,"0.92",FALSE,"Good try, but that's not correct. Maybe try a hint?"
q4.o2,"1.04",TRUE,"That's the correct answer. Congratulations on completing the problem!"
q4.o3,"1.08",FALSE,"Good try, but that's not correct. Maybe try a hint?"
q4.o4,"2.14",FALSE,"Good try, but that's not correct. Maybe try a hint?"
q4.o5,"3.33",FALSE,"Good try, but that's not correct. Maybe try a hint?"
q5.o1,"1",FALSE,"Good try, but that's not correct. Maybe try a hint?"
q5.o2,"2",TRUE,"That's the correct answer. Congratulations on completing the problem!"
q5.o3,"3",FALSE,"Good try, but that's not correct. Maybe try a hint?"
q5.o4,"both 1 and 2",FALSE,"Good try, but that's not correct. Maybe try a hint?"
q5.o5,"both 2 and 3",FALSE,"Good try, but that's not correct. Maybe try a hint?"
q1.h1.o1,"Known Information: \(v_{0,x} = 25 m/s\) <br>
We are solving for the maximum height of the dolphin's trajectory",FALSE,"Good try, but that's not correct. Let's think more about the fact that the initial angle is \(30^o\) above the horizontal - can the initial horizontal velocity really be 25 m/s?"
q1.h1.o2,"Known Information: \(v_{0,y} = 25 m/s\) <br>
We are solving for the maximum height of the dolphin's trajectory",FALSE,"Good try, but that's not correct. Let's think more about the fact that the initial angle is \(30^o\) above the horizontal - can the initial vertical velocity really be 25 m/s?"
q1.h1.o3,"Known Information: \(v_{0,x} = 25 m/s\) <br>
We are solving for the maximum horizontal distance of the dolphin's trajectory",FALSE,"Let's look more closely at what the question is asking us: 'how high, H, above the water is the center of the hoop?' In this case, we aren't interested at all in the horizontal part of the dolphin's trajectory. What are we looking for instead?
Also, let's think more about the fact that the initial angle is \(30^o\) above the horizontal - can the initial horizontal velocity really be 25 m/s?"
q1.h1.o4,"Known Information: \(v_{0,x} < 25 m/s\) <br>
We are solving for the maximum horizontal distance of the dolphin's trajectory",FALSE,"Let's look more closely at what the question is asking us: 'how high, H, above the water is the center of the hoop?' In this case, we aren't interested at all in the horizontal part of the dolphin's trajectory. What are we looking for instead?"
q1.h1.o5,"Known Information: \(v_{0,y} < 25 m/s\) <br>
We are solving for the maximum height of the dolphin's trajectory",TRUE,"That's correct, good job! Feel free to get another hint or try again on the original problem if you feel ready."
q1.h2.o1,"\(v_{0,x} = 25 \sin(30^o) m/s\) <br> 
\(v_{0,y} = 25 \sin(30^o) m/s\)",FALSE,"Good try, but that's not correct. Let's recall our trigonometric identities: sin = opposite/hypotenuse, cos = adjacent/hypotenuse and tan = opposite/adjacent. Here, the hypotenuse is the initial velocity of 25 m/s. Which trig identity is appropriate to get the x component (adjacent to the angle)?"
q1.h2.o2,"\(v_{0,x} = 25 \cos(30^o) m/s\) <br> 
\(v_{0,y} = 25 \tan(30^o) m/s\)",FALSE,"Good try, but that's not correct. Let's recall our trigonometric identities: sin = opposite/hypotenuse, cos = adjacent/hypotenuse and tan = opposite/adjacent. Here, the hypotenuse is the initial velocity of 25 m/s. Which trig identity is appropriate to get the y component (opposite of the angle)?"
q1.h2.o3,"\(v_{0,x} = 25 \cos(30^o) m/s\) <br> 
\(v_{0,y} = 25 \sin(30^o) m/s\)",TRUE,"Correct hint. Good job!" 
q1.h2.o4,"\(v_{0,x} = 25 \tan(30^o) m/s\) <br> 
\(v_{0,y} = 25 \sin(30^o) m/s\)",FALSE,"Good try, but that's not correct. Let's recall our trigonometric identities: sin = opposite/hypotenuse, cos = adjacent/hypotenuse and tan = opposite/adjacent. Here, the hypotenuse is the initial velocity of 25 m/s. Which trig identity is appropriate to get the x component (adjacent to the angle)?"
q1.h2.o5,"\(v_{0,x} = 0 m/s\) <br> 
\(v_{0,y} = 25 m/s\)",FALSE,"Good try, but that's not correct. Your answer implies that the entirety of the initial velocity is in the horizontal direction. Let's recall our trigonometric identities: sin = opposite/hypotenuse, cos = adjacent/hypotenuse and tan = opposite/adjacent. Here, the hypotenuse is the initial velocity of 25 m/s. Which trig identity is appropriate to get the x component (adjacent to the angle) and y component (opposite of the angle)?"
q1.h3.o1,"\(v_f = v_0 + at\) <br> 
\(h = v_0 t + at^2\)",FALSE,"Good try, but that's not correct because there is a constant term missing from the second expression. Look for another answer choice with the correct constant."
q1.h3.o2,"\(v_f = v_0 + at\) <br> 
\(h = v_0 t + \frac{1}{2} at^2\)",TRUE,"This is a valid equation of motion to solve this problem! There are others that are also valid, but we can use this one in the next steps. Feel free to get another hint or try again on the original problem if you feel ready." 
q1.h3.o3,"\(v_t^2 - v_0^2 = 2ah\)",TRUE,"This is a valid equation of motion to solve this problem! There are others that are also valid, but we can use this one in the next steps. Feel free to get another hint or try again on the original problem if you feel ready."
q1.h3.o4,"\(v_t^2 - v_0^2 = ah\)",FALSE,"Good try, but that's not correct because there is a constant term missing from the expression. Look for another answer choice with the correct constant."
q1.h3.o5,"\(\frac{1}{2} (mv_f^2 - mv_0^2) = mgh\) <br>",TRUE,"This is a valid equation of motion to solve this problem! There are others that are also valid, but we can use this one in the next steps. Feel free to get another hint or try again on the original problem if you feel ready."
q1.h4_2.o1,"\(0 = (25 \sin(30^\circ)) - 9.8t\) <br> 
\(h = (25 \sin(30^\circ))t+\frac{1}{2}(-9.8)t^2\)",TRUE,Correct! 
q1.h4_2.o2,"\(0 = (25 \sin(30^\circ)) - 9.8t\) <br> 
\(h = (25 \sin(30^\circ))t+\frac{1}{2}(9.8)t^2\)",FALSE,Check for the correct sign of acceleration.    
q1.h4_2.o3,"\(0 = (25 \sin(30^\circ)) + 9.8t\) <br> 
\(h = (25 \sin(30^\circ))t+\frac{1}{2}(-9.8)t^2\)",FALSE,Check for the correct operands. 
q1.h4_2.o4,"\(0 = (25 \sin(30^\circ)) + 9.8t\) <br> 
\(h = (25 \sin(30^\circ))t-\frac{1}{2}(-9.8)t^2\)",FALSE,Check for the correct operands. 
q1.h4_2.o5,"\(0 = (25 \sin(30^\circ)) + 9.8t\) <br> 
\(h = (25 \sin(30^\circ))t+\frac{1}{2}(9.8)t^2\)",FALSE,Check for the correct operands and correct sign of acceleration.
q1.h4_3.o1,\(0 - (25 \sin(30^\circ))^2 = 2(-9.8)h\),TRUE,Correct! Now you can solve for the height.
q1.h4_3.o2,\(0 - (25 \cos(30^\circ))^2 = 2(-9.8)h\),FALSE,Do not use the cosine component for vertical calculations.
q1.h4_3.o3,\(0 - (25 \sin(30^\circ))^2 = -2(9.8)h\),FALSE,The sign of acceleration is not applied correctly here.
q1.h4_3.o4,\(0 - (25 \cos(30^\circ))^2 = -2(9.8)h\),FALSE,Cosine is irrelevant for vertical velocity or height.
q1.h4_3.o5,\(0 - (25)^2 = 2(-9.8)h\),FALSE,Initial velocity requires breakdown into its components.
q1.h4_5.o1,\(\frac{1}{2} (0 - (25 \sin(30^\circ))^2) = 9.8h\),TRUE,You've got it! This correctly applies the energy equation for height.
q1.h4_5.o2,\(\frac{1}{2} (0 - (25 \cos(30^\circ))^2) = 9.8h\),FALSE,"The horizontal component, resolved by cosine, is incorrect for vertical analysis."
q1.h4_5.o3,\(\frac{1}{2} (0 - (25 \sin(30^\circ))^2) = -9.8h\),FALSE,The gravitational term should be positive as it equals the potential energy at height.
q1.h4_5.o4,\(\frac{1}{2} (0 - (25 \cos(30^\circ))^2) = -9.8h\),FALSE,"Again, use sine for the vertical evaluation, and mind the signs."
q1.h4_5.o5,\(\frac{1}{2} (0 - (25)^2) = 9.8h\),FALSE,Direct velocity value without resolution into components leads us astray.
q2.h1.o1,"Known: Initial horizontal speed is 10 m/s, horizontal distance is 55 m 
 Solve for: time in the air",TRUE,"Yes, we have the initial horizontal speed and the horizontal distance, and we need to find the time the rock is in the air."
q2.h1.o2,"Known: Vertical speed is 10 m/s initially, horizontal distance is 55 m 
 Solve for: height of the cliff",FALSE,The initial vertical speed is actually zero because the rock is launched horizontally.
q2.h1.o3,"Known: Vertical speed is not given, horizontal speed is 10 m/s 
 Solve for: height of the cliff",FALSE,"We are asked to find the time in the air, not the height of the cliff."
q2.h1.o4,"Known: Total distance traveled is 65 m 
 Solve for: time in the air",FALSE,The total distance traveled horizontally is 55 m. We are solving for the time in the air.
q2.h1.o5,"Known: Initial speed is 20 m/s at an unknown angle 
 Solve for: time in the air",FALSE,"The rock is launched horizontally at 10 m/s, and we need to find the time in the air using that information."
q2.h2.o1,"Horizontal: 10 m/s, Vertical: 0 m/s",TRUE,"Correct, the horizontal initial velocity is 10 m/s and since it is launched horizontally, the vertical initial velocity is 0 m/s."
q2.h2.o2,"Horizontal: 0 m/s, Vertical: 10 m/s",FALSE,"The rock is launched horizontally, so the horizontal velocity is 10 m/s and vertical is 0 m/s at the start."
